WEDETRALE_SETUP;When we decline to sign a Trade League Compact;Lorsque nous refusons de signer un accord commercial;Wenn wir ein angebotenes Handelsligaabkommen ablehnen;;Cuando rehusamos firmar un tratado de liga comercial;;;;;;;;;x
WEDETRALE_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;;;;;;x
WEDETRALE_1;The $LEAGUEADJ$ League;La ligue $LEAGUEADJ$;Die $LEAGUEADJ$ Liga;;La liga $LEAGUEADJ$;;;;;;;;;x
WEDETRALE_2;$MONARCHTITLE$, we declined to sign a;$MONARCHTITLE$, nous avons refusé de conclure un;$MONARCHTITLE$, wir lehnten das;;$MONARCHTITLE$, hemos rehusado firmar un;;;;;;;;;x
WEDETRALE_3;§YTrade League Compact§W;§Yaccord commercial§W;§YHandelsligaabkommen§W;;§Ytratado de liga comercial§W;;;;;;;;;x
WEDETRALE_4;with;avec;mit;;con;;;;;;;;;x
WEDETRALE_5;$ACTOR$;$ACTOR$;$ACTOR$ ab;;$ACTOR$;;;;;;;;;x
WEDETRALE_6;It would not be to our advantage...;Nous n’avions rien à y gagner...;Es wäre nicht zu unserem Vorteil…;;No nos resultaría ventajoso…;;;;;;;;;x
WEDETRALE_LOG;We declined to sign a Trade League Compact with $ACTOR$.;Nous avons refusé de conclure un accord commercial avec $ACTOR$.;Wir lehnten es ab, ein Handelsabkommen mit $ACTOR$ abzuschließen.;;Hemos rehusado firmar un tratado de liga comercial con $ACTOR$.;;;;;;;;;x
WEDETRALE_BTN1;OK;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x
WEDETRALE_BTN2;OK;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x
WEDETRALE_BTN3;Goto;Voir;GOTO;IdŸ do;Ir a;Andare;Ugrás;Pøejít na;;;;;;x
WEDETRALE_MAP;*;*;*;*;*;*;*;;;;;;;x
DETRALEWITHOTHER_SETUP;When two foreign nations fail to sign a Trade League Compact;Lorsque deux nations étrangères ne parviennent pas à conclure un accord commercial;Wenn zwei andere Nationen sich auf kein Handelsligaabkommen einigen können;;Cuando dos naciones extranjeras firman un tratado de liga comercial;;;;;;;;;x
DETRALEWITHOTHER_HEADER;Herald from;Message de l'ambassadeur :;Herold aus;Wys³annik pañstwa:;Heraldo de;Messaggero da;Hírnök érkezett innen:;Herold od;;;;;;x
DETRALEWITHOTHER_1;The $LEAGUEADJ$ League;La ligue $LEAGUEADJ$;Die $LEAGUEADJ$ Liga;;La liga $LEAGUEADJ$;;;;;;;;;x
DETRALEWITHOTHER_2;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;Pañstwo $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;;;;;;x
DETRALEWITHOTHER_3;declined to sign a Trade League Compact with;a refusé de conclure un accord commercial avec;lehnten ein Handelsligaabkommen mit;;ha rehusado firmar un tratado de liga comercial con;;;;;;;;;x
DETRALEWITHOTHER_4;$ACTOR$;$ACTOR$.;mit $ACTOR$ ab;z $ACTOR$.;$ACTOR$;di: $ACTOR$.;vele: $ACTOR$;$ACTOR$;;;;;;x
DETRALEWITHOTHER_5;*;*;*;*;*;*;*;;;;;;;x
DETRALEWITHOTHER_6;*;*;*;*;*;*;*;;;;;;;x
DETRALEWITHOTHER_LOG;$RECIPIENT$ declined to sign a Trade League Compact with $ACTOR$.;$RECIPIENT$ a refusé de conclure un accord commercial avec $ACTOR$.;$RECIPIENT$ lehnte es ab, ein Handelsligaabkommen mit $ACTOR$ abzuschließen.;;$RECIPIENT$ ha rehusado firmar un tratado de liga comercial con $ACTOR$.;;;;;;;;;x
DETRALEWITHOTHER_BTN1;OK;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x
DETRALEWITHOTHER_BTN2;OK;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x
DETRALEWITHOTHER_BTN3;Goto;Voir;GOTO;IdŸ do;Ir a;Andare;Ugrás;Pøejít na;;;;;;x
WEBRKTRADELE_SETUP;When we break a Trade League Compact;Lorsque nous rompons un accord commercial;Wenn wir ein Handelsligaabkommen brechen;;Cuando incumplimos un tratado de liga comercial;;;;;;;;;x
WEBRKTRADELE_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;;;;;;x
WEBRKTRADELE_1;The $LEAGUEADJ$ League!;La ligue $LEAGUEADJ$ !;Die $LEAGUEADJ$ Liga;;¡La liga $LEAGUEADJ$!;;;;;;;;;x
WEBRKTRADELE_2;$MONARCHTITLE$, we wisely broke the Trade League Compact we had with;$MONARCHTITLE$, nous avons eu la sagesse de rompre l’accord commercial préalablement conclu avec;$MONARCHTITLE$, wir haben weise entschieden und brachen das Handelsligaabkommen mit;;$MONARCHTITLE$, hemos roto sabiamente el tratado de liga comercial con;;;;;;;;;x
WEBRKTRADELE_3;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$.;$RECIPIENT$;$RECIPIENT$:;$RECIPIENT$;$RECIPIENT$;;;;;;x
WEBRKTRADELE_4;*;*;*;*;*;*;*;;;;;;;x
WEBRKTRADELE_5;*;*;*;*;*;*;*;;;;;;;x
WEBRKTRADELE_6;*;*;*;*;*;*;*;;;;;;;x
WEBRKTRADELE_LOG;We broke the Trade League Compact we had with $RECIPIENT$.;Nous avons rompu l’accord commercial préalablement conclu avec $RECIPIENT$.;Wir brachen das Handelsligaabkommen mit $RECIPIENT$.;;Hemos roto el tratado de liga comercial con $RECIPIENT$.;;;;;;;;;x
WEBRKTRADELE_BTN1;OK;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x
WEBRKTRADELE_BTN2;OK;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x
WEBRKTRADELE_BTN3;Goto;Voir;GOTO;IdŸ do;Ir a;Andare;Ugrás;Pøejít na;;;;;;x
WEBRKTRADELE_MAP;*;*;*;*;*;*;*;;;;;;;x
BRKTRADELEUS_SETUP;When another nation breaks a Trade League Compact with us;Lorsqu’une autre nation rompt un accord commercial avec nous;Wenn eine andere Nation ein Handelsligaabkommen mit uns bricht;;Cuando otra nación incumple un tratado de liga comercial con nosotros;;;;;;;;;x
BRKTRADELEUS_HEADER;Herald from;Message de l'ambassadeur :;Herold aus;Wys³annik pañstwa:;Heraldo de;Messaggero da;Hírnök innen:;Herold od;;;;;;x
BRKTRADELEUS_1;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;;;;;;x
BRKTRADELEUS_2;$MONARCHTITLE$, the idiotic ruler of;$MONARCHTITLE$, le stupide souverain de;$MONARCHTITLE$, der idiotische Herrscher von;;$MONARCHTITLE$, el estúpido soberano de;;;;;;;;;x
BRKTRADELEUS_3;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;;;;;;x
BRKTRADELEUS_4;has broken our;a rompu notre;hat unser  ;;ha roto nuestro;;;;;;;;;x
BRKTRADELEUS_5;§YTrade League Compact§W;§Yaccord commercial§W;§YHandelsligaabkommen§W gebrochen;;§Ytratado de liga comercial§W;;;;;;;;;x
BRKTRADELEUS_6;They will pay for this!;Ils vont nous le payer !;Sie werden dafür bezahlen!;;¡Pagarán por esto!;;;;;;;;;x
BRKTRADELEUS_LOG;$ACTOR$ has broken the Trade League Compact they had with us.;$ACTOR$ a rompu l’accord commercial préalablement conclu avec nous.;$ACTOR$ hat das Handelsligaabkommen mit uns gebrochen;;$ACTOR$ ha roto el tratado de liga comercial que tenía con nosotros.;;;;;;;;;x
BRKTRADELEUS_BTN1;OK;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x
BRKTRADELEUS_BTN2;OK;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x
BRKTRADELEUS_BTN3;Goto;Voir;GOTO;IdŸ do;Ir a;Andare;Ugrás;Pøejít na;;;;;;x
BRKTRADELEUS_MAP;*;*;*;*;*;*;*;;;;;;;x
BRKTRADELEOTH_SETUP;When another nation breaks a Trade League Compact with a third nation;Lorsqu’une autre nation rompt un accord commercial avec une nation tierce;Wenn eine andere Nation ein Handelsligaabkommen mit einer dritten bricht;;Cuando otra nación incumple un tratado de liga comercial con una tercera nación;;;;;;;;;x
BRKTRADELEOTH_HEADER;Herald from;Message de l'ambassadeur :;Herold aus;Wys³annik pañstwa:;Heraldo de;Messaggero da;Hírnök érkezett tõle:;Herold od;;;;;;x
BRKTRADELEOTH_1;The $LEAGUEADJ$ League;La ligue $LEAGUEADJ$;Die $LEAGUEADJ$ Liga;;La liga $LEAGUEADJ$;;;;;;;;;x
BRKTRADELEOTH_2;$MONARCHTITLE$, we wish to inform you that;$MONARCHTITLE$, nous tenions à vous informer que;$MONARCHTITLE$, wir haben Neuigkeiten für Euch:;Informujemy, ¿e;$MONARCHTITLE$, deseamos informaros de que;$MONARCHTITLE$, desideriamo comunicare che;Szeretnénk tudatni Önnel, hogy;$MONARCHTITLE$, byli jsme informováni, že;;;;;;x
BRKTRADELEOTH_3;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;;;;;;x
BRKTRADELEOTH_4;has broken their Trade League Compact with;a rompu son accord commercial avec;hat ihr Handelsligaabkommen mit;;ha incumplido su tratado de liga comercial con;;;;;;;;;x
BRKTRADELEOTH_5;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$ gebrochen;$RECIPIENT$.;$RECIPIENT$;$RECIPIENT$:;$RECIPIENT$;$RECIPIENT$;;;;;;x
BRKTRADELEOTH_6;*;*;*;*;*;*;*;;;;;;;x
BRKTRADELEOTH_LOG;$ACTOR$ has broken the Trade League Compact they had with $RECIPIENT$.;$ACTOR$ a rompu l’accord commercial préalablement conclu avec $RECIPIENT$.;$ACTOR$ hat das Handelsligaabkommen mit $RECIPIENT$ gebrochen.;;$ACTOR$ ha roto el tratado de liga comercial que tenía con $RECIPIENT$.;;;;;;;;;x
BRKTRADELEOTH_BTN1;OK;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x
BRKTRADELEOTH_BTN2;OK;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x
BRKTRADELEOTH_BTN3;Goto;Voir;GOTO;IdŸ do;Ir a;Andare;Ugrás;Pøejít na;;;;;;x
BRKTRADELEOTH_MAP;*;*;*;*;*;*;*;;;;;;;x
EMBARGOHAVETRADE;We have a trade agreement!;Nous avons un accord commercial !;Wir haben ein Handelsabkommen!;;¡Tenemos un acuerdo comercial!;;;;;;;;;x
EMBARGOHAVETRADELEAGUE;We are in the same Trade League!;Nous appartenons à la même ligue commerciale !;Wir sind in derselben Handelsliga!;;¡Estamos en la misma liga comercial!;;;;;;;;;x
DIPRELCH_TRADELEAGUE;Same Trade League;Même ligue commerciale;Gleiche Handelsliga;;Misma liga comercial;;;;;;;;;x
PROV_TRADE_LEAGUE;Part of the §Y$COUNTRYADJ$ League§W;Membre de la ligue §Y$COUNTRYADJ$§W;Mitglied der §Y$COUNTRYADJ$ Liga§W;;Parte de la liga §Y$COUNTRYADJ$ §W;;;;;;;;;x
COTTRADEAGCOMPETE;Our merchants will not compete due to our Trade Agreement;Grâce à notre accord commercial, nos marchands ne se feront pas concurrence.;Unsere Händler konkurrieren aufgrund unseres Handelsabkommens nicht;;Nuestros mercaderes no competirán, dado nuestro acuerdo comercial;;;;;;;;;x
COTLEAGUECOMPETE;Our merchants avoid competition since we are both in the §Y$LEAGUE$ League§W.;Nos marchands appartenant tous deux à la ligue §Y$LEAGUE$§W, ils éviteront de se faire concurrence.;Unsere Händler vermeiden es zu konkurrieren, da wir zusammen in der §Y$LEAGUE$ Liga§W sind.;;Nuestros mercaderes no compiten, puesto que ambos estamos en la liga §Y$LEAGUE$ §W.;;;;;;;;;x
MERCANTILE_DIPLO;Controls a §YTrade League§W\nCan ask for §YTrade Rights§W;Contrôle une §Yligue commerciale§W\nPeut réclamer des §Ydroits commerciaux§W;Kontrolliert eine §YHandelsliga§W\nKann um §YHandelsrechte§W bitten;;Controla una §Yliga comercial§W\nPuedes pedir §Yderechos comerciales§W;;;;;;;;;x
GOV_TRIBAL_WOES;Tribal Succession Crises;Crises de succession tribales;Thronfolgerkrise im Stamm;;Crisis de sucesión tribal;;;;;;;;;x
CCOT_LEAGUE_LIMIT;You cannot create a CoT while you are part of a Trade League.;Vous ne pouvez pas créer de centre de commerce tant que vous êtes membre d’une ligue commerciale.;Ihr könnt kein Handelszentrum erschaffen, wenn ihr in einer Handelsliga seit.;;No puedes crear un centro de comercio mientras formes parte de una liga comercial.;;;;;;;;;x
HRE_DECISIONS;Imperial Reforms;Réformes impériales;Reichsreformen;;Reformas imperiales;;;;;;;;;x
ALL_OWNED_PROVS;all owned provinces;toutes les provinces possédées;alle Provinzen in Besitz;;todas las provincias poseídas;;;;;;;;;x
EVTNAME1093;League Trade Stations Close;Fermeture des comptoirs de la ligue;Handelsligastationen schließen;;Cierre de puestos comerciales de la liga;;;;;;;;;x
EVTDESC1093;With us no longer in a Trade League, all trade stations in our territory close down.;Tous les comptoirs de notre territoire ferment leurs portes, car nous n’appartenons plus à aucune ligue commerciale.;Da wir uns nicht länger in der Handelsliga befinden, schließen alle ihre Station in unserem Land.;;Como ya no pertenecemos a una liga comercial, todos los puestos de comercio de nuestro territorio cierran.;;;;;;;;;x
EVTOPTA1093;Good Riddance!;Bon débarras !;So soll es auch sein!;;¡De buena nos libramos!;;;;;;;;;x
EVTNAME1094;Trade Station Founded;Comptoir fondé;Handelsstation gegründet.;;Puesto comercial fundado;;;;;;;;;x
EVTDESC1094;Merchant interests within the $LEAGUE_ADJ$ League have decided to open up a Trade Station in $PROVINCENAME$.;Les marchands de la ligue $LEAGUE_ADJ$ ont décidé d’ouvrir un comptoir en $PROVINCENAME$.;Aufgrund von Händlerinteressen innerhalb der $LEAGUE_ADJ$ Liga haben wir beschlossen, eine Handelsstation in $PROVINCENAME$ zu eröffnen.;;Intereses mercantiles dentro de la liga $LEAGUE_ADJ$ han decidido abrir un puesto de comercio en $PROVINCENAME$.;;;;;;;;;x
EVTOPTA1094;Trade is Good!;Vive le commerce !;Handel ist gut!;;¡El comercio es bueno!;;;;;;;;;x
league_kontor;Trade Station;Comptoir;Handelsstation;;Puesto de comercio;;;;;;;;;x
desc_league_kontor;Our Trade League has established a Trade Station here.;Notre ligue commerciale a établi un comptoir ici.;Unsere Handelsliga hat hier eine Handelsstation gegründet;;Nuestra liga comercial ha establecido aquí un puesto de comercio.;;;;;;;;;x
IN_TRADE_LEAGUE;Is in Trade League;Est membre de la ligue commerciale;Ist in einer Handelsliga;;Está en la liga comercial;;;;;;;;;x
NOT_IN_TRADE_LEAGUE;Is NOT in Trade League;N’est PAS membre de la ligue commerciale;Ist NICHT in einer Handelsliga;;NO está en la liga comercial;;;;;;;;;x
alert_disputed_succession_instant;§YDisputed Succession§W;§YSuccession contestée §W;§YUmkämpfte Nachfolge§W;;§Ysucesión disputada§W;;;;;;;;;x
alert_disputed_succession_delayed;The following countries lack heirs with a decent claim:\n$LIST$;Les pays suivants n’ont pas d’héritier suffisamment légitime :\n$LIST$;Die folgenden Nationen haben keine Thronfolger mit gutem Anspruch:\n$LIST$;;Los siguientes países carecen de herederos con aspiraciones fundadas:\n$LIST$;;;;;;;;;x
ACTRARIWITHUS_SETUP;When another nation accepts our Trade Rights proposal;Lorsqu’une autre nation accepte notre proposition de droits commerciaux;Wenn eine andere Nation die von uns angebotenen Handelsrechte annimmt;;Cuando otra nación acepta nuestra propuesta de derechos comerciales;;;;;;;;;x
ACTRARIWITHUS_HEADER;Herald from;Message de l'ambassadeur :;Herold aus;Wys³annik pañstwa:;Heraldo de;Messaggero da;Hírnök érkezett;Herold od;;;;;;x
ACTRARIWITHUS_1;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x
ACTRARIWITHUS_2;$MONARCHTITLE$, we now have exclusive;$MONARCHTITLE$, nous disposons désormais des;$MONARCHTITLE$, wir haben nun eklusive;;$MONARCHTITLE$, ahora tenemos exclusivos;;;;;;;;;x
ACTRARIWITHUS_3;§Y$GOODS$ Trade Rights§W;droits commerciaux exclusifs sur les §Y$GOODS$§W;§Y$GOODS$ Handelsrechte§W;;§Y$GOODS$ derechos comerciales§W;;;;;;;;;x
ACTRARIWITHUS_4;with;de;mit;z pañstwem;con;con:;a következõvel:;s;;;;;;x
ACTRARIWITHUS_5;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$.;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x
ACTRARIWITHUS_6;All their §Y$GOODS$§W will be traded through our Centers of Trade.;L’ensemble de leurs §Y$GOODS$§W passera par nos centres de commerce.;Alle ihre §Y$GOODS$§W werden durch unseren Handelszentren gehandelt werden.;;Todos sus productos §Y$GOODS$§W se venderán a través de nuestros centros de comercio.;;;;;;;;;x
ACTRARIWITHUS_LOG;We now have $GOODS$ Trade Rights with $RECIPIENT$.;Nous disposons désormais de droits commerciaux sur les $GOODS$ de $RECIPIENT$.;Wir haben nun $GOODS$ Handelsrechte mit $RECIPIENT$.;;Tenemos $GOODS$ derechos comerciales con $RECIPIENT$.;;;;;;;;;x
ACTRARIWITHUS_BTN1;OK;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
ACTRARIWITHUS_BTN2;OK;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x
ACTRARIWITHUS_BTN3;Goto;Voir;GOTO;IdŸ do;Ir a;Andare;Menj ide:;Pøejít na;;;;;;x
ACTRARIWITHUS_MAP;*;*;*;*;*;*;*;;;;;;;x
OTHERTRADERI_SETUP;When a foreign nation grants Trade Rights to another nation;Lorsqu’une nation étrangère accorde des droits commerciaux à une autre nation;Wenn eine andere Nation einer dritten Handelsrechte gewährt;;Cuando una nación extranjera concede derechos comerciales a otra nación;;;;;;;;;x
OTHERTRADERI_HEADER;Herald from;Message de l'ambassadeur :;Herold aus;Wys³annik pañstwa:;Heraldo de;Messaggero da;Hírnök érkezett;Herold od;;;;;;x
OTHERTRADERI_1;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;;;;;;x
OTHERTRADERI_2;$MONARCHTITLE$, we have been informed that;$MONARCHTITLE$, on nous informe que;$MONARCHTITLE$;Zostaliœmy poinformowani, ¿e;$MONARCHTITLE$, hemos sido informados de que;$MONARCHTITLE$, abbiamo saputo che;Arról értesültünk, hogy ;$MONARCHTITLE$, byli jsme informováni, že;;;;;;x
OTHERTRADERI_3;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x
OTHERTRADERI_4;has granted exclusive §Y$GOODS$ Trade Rights§W to;a accordé des droits commerciaux exclusifs sur les §Y$GOODS$§W à ;hat exklusive §Y$GOODS$ Handelsrechte§W vergeben an;;ha concedido exclusivos §Y$GOODS$ derechos comerciales§W a;;;;;;;;;x
OTHERTRADERI_5;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;;;;;;x
OTHERTRADERI_6;All their §Y$GOODS$§W will be traded through $LEAGUEADJ$ Centers of Trade.;L’ensemble de leurs §Y$GOODS$§W passera par les centres de commerce $LEAGUEADJ$.;Alle ihre §Y$GOODS$§W werden nun durch die Handelszentren von $LEAGUEADJ$ gehandelt.;;Todos sus productos §Y$GOODS$§W se venderán a través de centros comerciales de $LEAGUEADJ$.;;;;;;;;;x
OTHERTRADERI_LOG;$RECIPIENT$ now grants $GOODS$ Trade Rights to $ACTOR$.;$RECIPIENT$ accorde désormais des droits commerciaux sur les $GOODS$ à $ACTOR$.;$RECIPIENT$ vergibt nun $GOODS$ Handelsrechte an$ACTOR$.;;$RECIPIENT$ concede ahora $GOODS$ derechos comerciales a $ACTOR$.;;;;;;;;;x
OTHERTRADERI_BTN1;OK;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
OTHERTRADERI_BTN2;OK;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
OTHERTRADERI_BTN3;Goto;Voir;GOTO;IdŸ do;Ir a;Andare;Ugrás;Pøejít na;;;;;;x
OTHERTRADERI_MAP;*;*;*;*;*;*;*;;;;;;;x
WETRADERI_SETUP;When we grant exclusive Trade Rights to another nation;Lorsque nous accordons des droits commerciaux exclusifs à une autre nation;Wenn wir Handelrechte an eine andere Nation vergeben;;Cuando concedemos derechos comerciales exclusivos a otra nación;;;;;;;;;x
WETRADERI_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;;;;;;x
WETRADERI_1;Trade Rights!;Droits commerciaux !;Handelsrechte;;¡Derechos comerciales!;;;;;;;;;x
WETRADERI_2;$MONARCHTITLE$, we have decided to grant;$MONARCHTITLE$, nous avons décidé d’accorder;$MONARCHTITLE$, wir vergeben nun;;$MONARCHTITLE$, hemos decidido conceder;;;;;;;;;x
